"tube","strain","time","od600"
8,"TK0224",6,0.097
9,"TK0224",6,0.074
10,"TK2304",6,0.1
11,"TK2304",6,0.076
12,"TK2304",6,0.079
13,"TK0704",6,0.148
14,"TK0704",6,0.185
15,"TK0704",6,0.172
16,"TK0729",6,0.17
17,"TK0729",6,0.22
18,"TK0729",6,0.284
19,"TK1273",6,0.13
20,"TK1273",6,0.134
21,"TK1273",6,0.133
22,"TK1917",6,0.13
23,"TK1917",6,0.089
24,"TK1917",6,0.064
25,"TK2122",6,0.15
26,"TK2122",6,0.103
27,"TK2122",6,0.205
28,"TK2241",6,0.136
29,"TK2241",6,0.107
30,"TK2241",6,0.144
"n1","control",7,0.01
"n2","control",7,0
"n3","control",7,0
1,"TS559",7,0.146
2,"TS559",7,0.144
3,"TS559",7,0.215
4,"TK0008",7,0.181
5,"TK0008",7,0.18
6,"TK0008",7,0.28
7,"TK0224",7,0.222
8,"TK0224",7,0.203
9,"TK0224",7,0.19
10,"TK2304",7,0.263
11,"TK2304",7,0.237
12,"TK2304",7,0.175
13,"TK0704",7,0.371
14,"TK0704",7,0.394
15,"TK0704",7,0.334
16,"TK0729",7,0.318
17,"TK0729",7,0.431
18,"TK0729",7,0.416
19,"TK1273",7,0.32
20,"TK1273",7,0.323
21,"TK1273",7,0.283
22,"TK1917",7,0.25
23,"TK1917",7,0.129
24,"TK1917",7,0.114
25,"TK2122",7,0.274
26,"TK2122",7,0.203
27,"TK2122",7,0.363
28,"TK2241",7,0.31
29,"TK2241",7,0.242
30,"TK2241",7,0.251
"n1","control",8,0.003
"n2","control",8,0
"n3","control",8,0
1,"TS559",8,0.304
2,"TS559",8,0.265
3,"TS559",8,0.388
4,"TK0008",8,0.302
5,"TK0008",8,0.308
6,"TK0008",8,0.388
7,"TK0224",8,0.335
8,"TK0224",8,0.35
9,"TK0224",8,0.312
10,"TK2304",8,0.432
11,"TK2304",8,0.401
12,"TK2304",8,0.29
13,"TK0704",8,0.51
14,"TK0704",8,0.546
15,"TK0704",8,0.505
16,"TK0729",8,0.405
17,"TK0729",8,0.463
18,"TK0729",8,0.52
19,"TK1273",8,0.475
20,"TK1273",8,0.49
21,"TK1273",8,0.49
22,"TK1917",8,0.21
23,"TK1917",8,0.204
24,"TK1917",8,0.392
25,"TK2122",8,0.462
26,"TK2122",8,0.341
27,"TK2122",8,0.532
28,"TK2241",8,0.502
29,"TK2241",8,0.415
30,"TK2241",8,0.416
"n1","control",9,0
"n2","control",9,0
"n3","control",9,0
1,"TS559",9,0.366
2,"TS559",9,0.373
3,"TS559",9,0.488
4,"TK0008",9,0.42
5,"TK0008",9,0.39
6,"TK0008",9,0.481
7,"TK0224",9,0.494
8,"TK0224",9,0.481
9,"TK0224",9,0.445
